STATE: {location: 1, people: {8=true, 9=true}, edges: {3=unknown, 4=unknown, 7=unknown, 8=unknown}, carrying: 0, saved: 0, time: 0}, ACTION: Go to vertex 5, UTILITY: 1.5
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 3, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 3, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 3, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 11, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 3, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 3, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 11, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 3, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 3, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 11, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 5}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 5}, ACTION: Go to vertex 4, UTILITY: 1
STATE: {location: 4, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: Go to vertex 8, UTILITY: 1
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 7}, ACTION: Go to vertex 4, UTILITY: 1
STATE: {location: 3, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: Go to vertex 1, UTILITY: 1
STATE: {location: 1, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 10}, ACTION: Go to vertex 5, UTILITY: 1
STATE: {location: 5, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 11}, ACTION: NoOp, UTILITY: 1
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 11}, ACTION: NoOp, UTILITY: 1
STATE: {location: 11, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 9, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 7, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 6, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 5}, ACTION: Go to vertex 3, UTILITY: 1
STATE: {location: 3, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: Go to vertex 8, UTILITY: 1
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 7}, ACTION: Go to vertex 3, UTILITY: 1
STATE: {location: 3, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: Go to vertex 1, UTILITY: 1
STATE: {location: 1, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 1, time: 10}, ACTION: Go to vertex 5, UTILITY: 1
STATE: {location: 5, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 1, time: 11}, ACTION: NoOp, UTILITY: 1
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 1, time: 11}, ACTION: NoOp, UTILITY: 1
STATE: {location: 4, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 11, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 9, people: {8=false, 9=false}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 2, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 7, people: {8=false, 9=false}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=false}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 6, people: {8=false, 9=false}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 5}, ACTION: Go to vertex 4, UTILITY: 1
STATE: {location: 3, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: Go to vertex 8, UTILITY: 1
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 7}, ACTION: Go to vertex 4, UTILITY: 1
STATE: {location: 3, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: Go to vertex 1, UTILITY: 1
STATE: {location: 1, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 10}, ACTION: Go to vertex 5, UTILITY: 1
STATE: {location: 5, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 11}, ACTION: NoOp, UTILITY: 1
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 11}, ACTION: NoOp, UTILITY: 1
STATE: {location: 4, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 11, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 9, people: {8=false, 9=false}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 7, people: {8=false, 9=false}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=false}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 6, people: {8=false, 9=false}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: Go to vertex 8, UTILITY: 1
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 3}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 4}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 5}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 3}, ACTION: Go to vertex 4, UTILITY: 1
STATE: {location: 4, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 4}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 5}, ACTION: Go to vertex 4, UTILITY: 1
STATE: {location: 3, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 6}, ACTION: Go to vertex 8, UTILITY: 1
STATE: {location: 4, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 6}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 7}, ACTION: Go to vertex 4, UTILITY: 1
STATE: {location: 1, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 8}, ACTION: Go to vertex 5, UTILITY: 1
STATE: {location: 5, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 9}, ACTION: Go to vertex 1, UTILITY: 1
STATE: {location: 2, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 9}, ACTION: Go to vertex 4, UTILITY: 1
STATE: {location: 4, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 10}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 1, time: 11}, ACTION: NoOp, UTILITY: 1
STATE: {location: 11, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 6}, ACTION: Go to vertex 8, UTILITY: 1
STATE: {location: 10, people: {8=false, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 1, saved: 0, time: 7}, ACTION: NoOp, UTILITY: 0
STATE: {location: 9, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 7, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 10, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 11, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 8, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 11}, ACTION: NoOp, UTILITY: 0
STATE: {location: 6, people: {8=false, 9=false}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 4}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 5, people: {8=true, 9=true}, edges: {8=blocked, 3=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 5}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 3}, ACTION: Go to vertex 1, UTILITY: 1
STATE: {location: 3, people: {8=true, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 4}, ACTION: Go to vertex 2, UTILITY: 1
STATE: {location: 8, people: {8=false, 9=true}, edges: {8=blocked, 3=open, 4=blocked, 7=blocked}, carrying: 1, saved: 0, time: 5}, ACTION: Go to vertex 4, UTILITY: 1
